iter	Passed	Remaining
0	163	163151
1	165	82810
2	167	55777
3	169	42284
4	172	34305
5	173	28809
6	175	24936
7	177	22004
8	178	19682
9	179	17812
10	181	16300
11	182	15031
12	183	13948
13	185	13082
14	187	12282
15	188	11595
16	189	10978
17	190	10417
18	191	9909
19	192	9451
20	194	9048
21	195	8673
22	196	8331
23	197	8017
24	198	7736
25	200	7505
26	201	7262
27	202	7041
28	203	6828
29	204	6626
30	205	6437
31	206	6257
32	207	6090
33	209	5939
34	210	5791
35	211	5653
36	212	5521
37	213	5415
38	215	5309
39	216	5204
40	217	5098
41	219	4998
42	220	4900
43	221	4805
44	222	4714
45	223	4628
46	224	4546
47	225	4466
48	226	4393
49	228	4340
50	229	4272
51	230	4209
52	232	4145
53	233	4082
54	234	4021
55	234	3960
56	236	3904
57	236	3848
58	238	3796
59	239	3746
60	240	3696
61	241	3653
62	243	3619
63	244	3575
64	245	3536
65	246	3493
66	247	3452
67	248	3412
68	250	3373
69	251	3335
70	252	3298
71	253	3262
72	254	3228
73	255	3194
74	257	3172
75	258	3141
76	259	3114
77	260	3083
78	261	3052
79	262	3023
80	263	2993
81	264	2965
82	265	2934
83	266	2909
84	267	2883
85	268	2857
86	269	2832
87	271	2816
88	272	2793
89	274	2772
90	275	2750
91	276	2728
92	277	2706
93	278	2684
94	279	2663
95	280	2643
96	281	2623
97	282	2603
98	283	2582
99	284	2563
100	286	2552
101	287	2534
102	289	2519
103	290	2501
104	291	2483
105	292	2466
106	293	2450
107	294	2434
108	295	2418
109	296	2401
110	297	2385
111	298	2370
112	300	2355
113	301	2345
114	303	2331
115	304	2319
116	305	2303
117	306	2289
118	307	2276
119	308	2262
120	309	2249
121	310	2234
122	311	2220
123	312	2208
124	313	2194
125	314	2182
126	316	2172
127	317	2160
128	318	2150
129	319	2138
130	320	2126
131	321	2115
132	322	2104
133	323	2092
134	324	2081
135	325	2070
136	326	2058
137	327	2048
138	328	2037
139	330	2032
140	332	2023
141	333	2012
142	334	2003
143	335	1992
144	336	1983
145	337	1973
146	338	1963
147	339	1953
148	340	1944
149	341	1934
150	342	1925
151	343	1916
152	345	1912
153	346	1904
154	348	1897
155	349	1888
156	350	1880
157	351	1872
158	352	1863
159	353	1853
160	353	1843
161	354	1835
162	355	1827
163	356	1819
164	357	1810
165	358	1803
166	360	1797
167	361	1792
168	362	1784
169	364	1777
170	365	1770
171	366	1762
172	367	1755
173	368	1748
174	369	1741
175	370	1733
176	371	1726
177	372	1721
178	374	1718
179	375	1712
180	377	1707
181	378	1701
182	379	1695
183	380	1687
184	381	1681
185	382	1675
186	383	1668
187	384	1661
188	385	1654
189	386	1648
190	389	1650
191	390	1645
192	392	1641
193	393	1635
194	394	1629
195	395	1623
196	396	1616
197	397	1610
198	398	1604
199	399	1598
200	400	1593
201	401	1587
202	403	1585
203	404	1580
204	406	1576
205	407	1571
206	408	1565
